# On-device measurements: synthetic convolutions, VTCM budget sweep.
# Device: Snapdragon 8 Elite Gen 5 class SoC, v81 NPU architecture, vendor AI runtime SDK 2.43.
#
# latency_us  = median of 3 round-medians of the per-execute "accelerator (execute) time" from
#               the runtime's own profiler; rounds interleaved to cancel thermal drift
# nodes       = op count in the compiled graph
# convlayer   = number of emitted ConvLayer ops, i.e. the tile count
# spill_bytes = bytes the compiler reports spilling to DRAM
#
# Compiled with dsp_arch=v81, soc_model explicitly set, optimisation level 3.
# NOTE 1: omitting soc_model yields a valid but ~3400x slower graph. It is not optional.
# NOTE 2: offline and online prepare are not comparable (offline is ~4.6x slower here), so only
#         compare rows within a single prepare mode.
model,H,W,C_in,OC,prepare,vtcm_mb,latency_us,nodes,convlayer,spill_bytes
conv_med,64,64,32,32,online,1,42,94,8,0
conv_med,64,64,32,32,online,2,54,57,8,0
conv_med,64,64,32,32,online,4,55,57,8,0
conv_med,64,64,32,32,online,8,55,57,8,0
conv_med,64,64,32,32,offline,1,191,94,8,0
conv_med,64,64,32,32,offline,2,254,57,8,0
conv_med,64,64,32,32,offline,4,263,57,8,0
conv_med,64,64,32,32,offline,8,263,57,8,0
conv_big,128,128,64,64,offline,1,2513,377,16,8388608
conv_big,128,128,64,64,offline,2,1570,232,16,4194304
conv_big,128,128,64,64,offline,4,1152,232,16,0
conv_big,128,128,64,64,offline,8,905,232,16,0
conv_huge,256,256,128,128,offline,1,32105,8930,768,50331648
conv_huge,256,256,128,128,offline,2,25448,3577,128,67108864
conv_huge,256,256,128,128,offline,4,21935,1541,32,100663296
conv_huge,256,256,128,128,offline,8,10817,1147,32,33554432
scan_oc256,128,128,256,256,offline,1,18326,3914,768,41943040
scan_oc256,128,128,256,256,offline,2,10640,2897,128,25165824
scan_oc256,128,128,256,256,offline,4,8078,1103,32,16777216
scan_oc256,128,128,256,256,offline,8,7252,390,16,25165824
